date,precinct,accident_count
2020-01-25,MIDTOW,3
2020-01-25,NORTH,5
2020-01-25,SOUTH,21
2020-01-25,WEST,5
2020-01-26,CENTRA,4
2020-01-26,EAST,5
2020-01-26,HERMIT,6
2020-01-26,MIDTOW,5
2020-01-26,NORTH,9
2020-01-26,SOUTH,16
2020-01-26,WEST,6
2020-01-27,CENTRA,12
2020-01-27,EAST,5
2020-01-27,HERMIT,16
2020-01-27,MADISO,12
2020-01-27,MIDTOW,16
2020-01-27,NORTH,9
2020-01-27,SOUTH,21
2020-01-27,WEST,8
2020-01-28,CENTRA,4
2020-01-28,EAST,11
2020-01-28,HERMIT,19
2020-01-28,MADISO,7
2020-01-28,MIDTOW,19
2020-01-28,NORTH,7
2020-01-28,SOUTH,11
2020-01-28,WEST,5
2020-01-29,CENTRA,10
2020-01-29,EAST,11
2020-01-29,HERMIT,15
2020-01-29,MADISO,8
2020-01-29,MIDTOW,13
2020-01-29,NORTH,9
2020-01-29,SOUTH,23
2020-01-29,WEST,13
2020-01-30,CENTRA,6
2020-01-30,EAST,9
2020-01-30,HERMIT,17
2020-01-30,MADISO,12
2020-01-30,MIDTOW,20
2020-01-30,NORTH,10
2020-01-30,SOUTH,17
2020-01-30,WEST,7
2020-01-31,CENTRA,11
2020-01-31,EAST,13
2020-01-31,HERMIT,18
2020-01-31,MADISO,8
2020-01-31,MIDTOW,11
2020-01-31,NORTH,14
2020-01-31,SOUTH,34
2020-01-31,WEST,5
2020-02-01,CENTRA,7
2020-02-01,EAST,5
2020-02-01,HERMIT,9
2020-02-01,MADISO,5
2020-02-01,MIDTOW,15
2020-02-01,NORTH,6
2020-02-01,SOUTH,19
2020-02-01,WEST,5
2020-02-02,CENTRA,3
2020-02-02,EAST,3
2020-02-02,HERMIT,9
2020-02-02,MADISO,7
2020-02-02,MIDTOW,8
2020-02-02,NORTH,9
2020-02-02,SOUTH,20
2020-02-02,WEST,3
2020-02-03,CENTRA,9
2020-02-03,EAST,11
2020-02-03,HERMIT,11
2020-02-03,MADISO,9
2020-02-03,MIDTOW,10
2020-02-03,NORTH,15
2020-02-03,SOUTH,17
2020-02-03,WEST,9
2020-02-04,CENTRA,12
2020-02-04,EAST,13
2020-02-04,HERMIT,24
2020-02-04,MADISO,16
2020-02-04,MIDTOW,24
2020-02-04,NORTH,14
2020-02-04,SOUTH,25
2020-02-04,WEST,7
2020-02-05,CENTRA,7
2020-02-05,EAST,7
2020-02-05,HERMIT,23
2020-02-05,MADISO,7
2020-02-05,MIDTOW,13
2020-02-05,NORTH,11
2020-02-05,SOUTH,30
2020-02-05,WEST,14
2020-02-06,CENTRA,10
2020-02-06,EAST,9
2020-02-06,HERMIT,19
2020-02-06,MADISO,9
2020-02-06,MIDTOW,17
2020-02-06,NORTH,11
2020-02-06,SOUTH,23
2020-02-06,WEST,10
2020-02-07,CENTRA,9
